Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
124;0;134;0;243;0;142;0;243;0;222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;1
134;0;243;0;142;0;243;0;222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;1
243;0;142;0;243;0;222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;1
142;0;243;0;222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;1
243;0;222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;1
222;0;254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;2
254;0;223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;2
223;0;155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;112;510;1
155;0;135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;112;510;133;410;1
135;0;124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;112;510;133;410;123;600;1
124;0;241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;112;510;133;410;123;600;143;700;1
241;0;145;0;124;520;223;410;253;430;124;520;123;720;153;510;134;610;124;710;221;500;112;510;133;410;123;600;143;700;145;700;2
