Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
213;0;124;0;221;0;121;0;235;0;125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;1
124;0;221;0;121;0;235;0;125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;2
221;0;121;0;235;0;125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;1
121;0;235;0;125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;2
235;0;125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;1
125;0;151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;2
151;0;252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;1
252;0;225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;1
225;0;222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;1
222;0;123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;1
123;0;234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;2
234;0;253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;2
253;0;222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;2
222;40;124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;1
124;30;134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;2
134;120;135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;2
135;220;235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;2
235;220;135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;2
135;110;224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;1
224;120;125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;1
125;210;224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;2
224;210;154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;2
154;220;135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;1
135;310;124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;2
124;410;123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;1
123;510;242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;1
242;600;223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;1
223;524;235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;1
235;434;121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;1
121;334;234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;1
234;323;233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;2
233;223;222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;1
222;233;235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;1
235;143;121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;2
121;233;123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;1
123;323;252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;1
252;222;253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;2
253;212;144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;1
144;311;224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;1
224;232;113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;2
113;221;123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;1
123;421;123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;2
123;511;142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;1
142;512;121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;1
121;503;145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;1
145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;2
243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;2
134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;2
135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;1
222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;1
232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;2
251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;2
255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;1
123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;1
155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;2
112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;1
125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;2
224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;2
154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;2
